------------------------------------------------------------------------------------------
--- Application ANR ---
------------------------------------------------------------------------------------------


------------------------------------------------------------------------------------------
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.6% 27190/mdss_fb0: 0% user + 0.6% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.4% 7/rcu_preempt: 0% user + 0.4% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.4% 82/kworker/u16:1: 0% user + 0.4% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.4% 300/irq/72-ssd2098: 0% user + 0.4% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0% 27163/kworker/u17:4: 0% user + 0% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.4% 28803/kworker/u16:2: 0% user + 0.4% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.4% 29746/kworker/0:0: 0% user + 0.4% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.3% 110/system: 0% user + 0.3% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.3% 586/vendor.qti.hardware.perf@1.0-service: 0% user + 0.3% kernel / faults: 4 minor
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0% 27164/kworker/u17:6: 0% user + 0% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0% 1//init: 0% user + 0% kernel / faults: 10 minor
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.1% 8/rcu_sched: 0% user + 0.1% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.1% 45/rcuop/4: 0% user + 0.1% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.1% 53/rcuop/5: 0% user + 0.1% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.1% 61/rcuop/6: 0% user + 0.1% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.1% 62/rcuos/6: 0% user + 0.1% kernel
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   0.1% 69/rcuop/7: 0% user 
06-05 18:10:16.265  1000  2628  7823 E ActivityManager: applyOptionsLocked: Unknown animationType=0
