------------------------------------------------------------------------------------------
--- Kernel logs (dmesg) ---
<3>[14046.141346] DL data not available
<3>[14046.161351] DL data not available
<3>[14046.181405] DL data not available
<3>[14046.201338] DL data not available
<3>[14046.221418] DL data not available
<3>[14046.241374] DL data not available
<3>[14046.261432] DL data not available
<3>[14046.281364] DL data not available
<3>[14046.301387] DL data not available
<3>[14046.321364] DL data not available
<3>[14046.341236] DL data not available
<3>[14046.361364] DL data not available
<3>[14046.381352] DL data not available
<3>[14046.401370] DL data not available
<3>[14046.421348] DL data not available
<3>[14046.441245] DL data not available
<3>[14046.461346] DL data not available
<3>[14046.481359] DL data not available
<3>[14046.501358] DL data not available
<3>[14046.521408] DL data not available
<3>[14046.541362] DL data not available
<3>[14046.561406] DL data not available
<3>[14046.581366] DL data not available
<3>[14046.601402] DL data not available
<3>[14046.621441] DL data not available
<3>[14046.641368] DL data not available
<3>[14046.661385] DL data not available
<3>[14046.681383] DL data not available
<3>[14046.701245] DL data not available
<3>[14046.721310] DL data not available
<3>[14046.741255] DL data not available
<3>[14046.761243] DL data not available
<3>[14046.781411] DL data not available
<3>[14046.801409] DL data not available
<3>[14046.821354] DL data not available
<3>[14046.841357] DL data not available
<3>[14046.861309] DL data not available
<3>[14046.881406] DL data not available
<3>[14046.901332] DL data not available
<3>[14046.921338] DL data not available
<3>[14046.941363] DL data not available
<3>[14046.961245] DL data not available
<3>[14046.981260] DL data not available
<3>[14047.001361] DL data not available
<3>[14047.021345] DL data not available
<3>[14047.041360] DL data not available
<3>[14047.061397] DL data not available
<3>[14047.081343] DL data not available
<3>[14047.101377] DL data not available
<3>[14047.121354] DL data not available
<3>[14047.141389] DL data not available
<3>[14047.161355] DL data not available
<3>[14047.181350] DL data not available
<3>[14047.201271] DL data not available
<3>[14047.221350] DL data not available
<3>[14047.241353] DL data not available
<3>[14047.261362] DL data not available
<3>[14047.281239] DL data not available
<3>[14047.301452] DL data not available
<3>[14047.321360] DL data not available
<3>[14047.341246] DL data not available
<3>[14047.361357] DL data not available
<3>[14047.381382] DL data not available
<3>[14047.401302] DL data not available
<3>[14047.421276] DL data not available
<3>[14047.441295] DL data not available
<3>[14047.461262] DL data not available
<3>[14047.481296] DL data not available
<3>[14047.501277] DL data not available
<3>[14047.521250] DL data not available
<3>[14047.541266] DL data not available
<3>[14047.561263] DL data not available
<3>[14047.581270] DL data not available
<3>[14047.601292] DL data not available
<3>[14047.621255] DL data not available
<3>[14047.641259] DL data not available
<3>[14047.661414] DL data not available
<3>[14047.681397] DL data not available
<3>[14047.701342] DL data not available
<3>[14047.721366] DL data not available
<3>[14047.741287] DL data not available
<3>[14047.761415] DL data not available
<3>[14047.781348] DL data not available
<3>[14047.801377] DL data not available
<3>[14047.821439] DL data not available
<3>[14047.841430] DL data not available
<3>[14047.861391] DL data not available
<3>[14047.881264] DL data not available
<3>[14047.901428] DL data not available
<3>[14047.921370] DL data not available
<3>[14047.941262] DL data not available
<3>[14047.961360] DL data not available
<3>[14047.981389] DL data not available
<3>[14048.001452] DL data not available
<3>[14048.021373] DL data not available
<3>[14048.041362] DL data not available
<3>[14048.061389] DL data not available
<3>[14048.081407] DL data not available
<3>[14048.101386] DL data not available
<3>[14048.121317] DL data not available
<3>[14048.141412] DL data not available
<3>[14048.161366] DL data not available
<3>[14048.181356] DL data not available
<3>[14048.201406] DL data not available
<3>[14048.221289] DL data not available
<3>[14048.241464] DL data not available
<3>[14048.261251] DL data not available
<3>[14048.281262] DL data not available
<3>[14048.301347] DL data not available
<3>[14048.321310] DL data not available
<3>[14048.341354] DL data not available
<3>[14048.361338] DL data not available
<3>[14048.381318] DL data not available
<3>[14048.401345] DL data not available
<3>[14048.421294] DL data not available
<3>[14048.441363] DL data not available
<3>[14048.461371] DL data not available
<3>[14048.481334] DL data not available
<3>[14048.501339] DL data not available
<3>[14048.521447] DL data not available
<3>[14048.541333] DL data not available
<3>[14048.561287] DL data not available
<3>[14048.581346] DL data not available
<3>[14048.601337] DL data not available
<3>[14048.621354] DL data not available
<3>[14048.641241] DL data not available
<3>[14048.661366] DL data not available
<3>[14048.681410] DL data not available
<3>[14048.701353] DL data not available
<3>[14048.721341] DL data not available
<3>[14048.741307] DL data not available
<3>[14048.761285] DL data not available
<3>[14048.761897] wlan: [9892:E :DAT] dxeTXCompFrame :ARP packet DMA-ed 
<3>[14048.781388] DL data not available
<3>[14048.801341] DL data not available
<3>[14048.821336] DL data not available
<3>[14048.841397] DL data not available
<3>[14048.861305] DL data not available
<3>[14048.881365] DL data not available
<3>[14048.901349] DL data not available
<3>[14048.921237] DL data not available
<3>[14048.941348] DL data not available
<3>[14048.961400] DL data not available
<3>[14048.981300] DL data not available
<3>[14049.001227] DL data not available
<3>[14049.021317] DL data not available
<3>[14049.041335] DL data not available
<3>[14049.061336] DL data not available
<3>[14049.081387] DL data not available
<3>[14049.101236] DL data not available
<3>[14049.121346] DL data not available
<3>[14049.141483] DL data not available
<3>[14049.161350] DL data not available
<3>[14049.181260] DL data not available
<3>[14049.201377] DL data not available
<3>[14049.221271] DL data not available
<3>[14049.241248] DL data not available
<3>[14049.261339] DL data not available
<3>[14049.281339] DL data not available
<3>[14049.301404] DL data not available
<3>[14049.321302] DL data not available
<3>[14049.341243] DL data not available
<3>[14049.361338] DL data not available
<3>[14049.381367] DL data not available
<3>[14049.401381] DL data not available
<3>[14049.421335] DL data not available
<3>[14049.441292] DL data not available
<3>[14049.461310] DL data not available
<3>[14049.481339] DL data not available
<3>[14049.501348] DL data not available
<3>[14049.521290] DL data not available
<3>[14049.541302] DL data not available
<3>[14049.561432] DL data not available
<3>[14049.581351] DL data not available
<3>[14049.601353] DL data not available
<3>[14049.621306] DL data not available
<3>[14049.641249] DL data not available
<3>[14049.661342] DL data not available
<3>[14049.681337] DL data not available
<3>[14049.701341] DL data not available
<3>[14049.721433] DL data not available
<3>[14049.741383] DL data not available
<3>[14049.761422] DL data not available
<3>[14049.781470] DL data not available
<3>[14049.801298] DL data not available
<3>[14049.821411] DL data not available
<3>[14049.841364] DL data not available
<3>[14049.861247] DL data not available
<3>[14049.881342] DL data not available
<3>[14049.901341] DL data not available
<3>[14049.921247] DL data not available
<3>[14049.941355] DL data not available
<3>[14049.961325] DL data not available
<3>[14049.981296] DL data not available
<3>[14050.001336] DL data not available
<3>[14050.021298] DL data not available
<3>[14050.041348] DL data not available
<3>[14050.061233] DL data not available
<3>[14050.081379] DL data not available
<3>[14050.101337] DL data not available
<3>[14050.121269] DL data not available
<3>[14050.141357] DL data not available
<3>[14050.161394] DL data not available
<3>[14050.181414] DL data not available
<3>[14050.201365] DL data not available
<3>[14050.221253] DL data not available
<3>[14050.241238] DL data not available
<3>[14050.261324] DL data not available
<3>[14050.281334] DL data not available
<3>[14050.301351] DL data not available
<3>[14050.321320] DL data not available
<3>[14050.341246] DL data not available
<3>[14050.361440] DL data not available
<3>[14050.381339] DL data not available
<3>[14050.401300] DL data not available
<3>[14050.421392] DL data not available
<3>[14050.441321] DL data not available
<3>[14050.461409] DL data not available
<3>[14050.481372] DL data not available
