##DateTime MemTotal: MemFree: MemAvailable: Cached:  ION_total 
04-05-2018_15-47-14 2803616 36184 684060 650184 353236 
04-05-2018_15-47-15 2803616 49956 682856 635140 353236 
04-05-2018_15-47-15 2803616 49372 681980 634840 325480 
04-05-2018_15-47-16 2803616 47172 679856 634900 362420 
04-05-2018_15-47-17 2803616 51436 676940 627768 362420 
04-05-2018_15-47-17 2803616 50660 676388 627944 343916 
04-05-2018_15-47-18 2803616 49376 675104 627944 371604 
04-05-2018_15-47-19 2803616 42156 664740 624760 371604 
04-05-2018_15-47-20 2803616 36196 658948 624888 343848 
04-05-2018_15-47-20 2803616 35612 656716 623248 380788 
04-05-2018_15-47-21 2803616 46376 646816 602972 380788 
04-05-2018_15-47-22 2803616 51424 652096 603164 353032 
04-05-2018_15-47-23 2803616 49652 650356 603196 389972 
04-05-2018_15-47-23 2803616 43844 645332 603904 389972 
04-05-2018_15-47-24 2803616 43268 645160 604304 399156 
04-05-2018_15-47-25 2803616 35548 626700 593640 399156 
04-05-2018_15-47-25 2803616 38228 627144 591484 371400 
04-05-2018_15-47-26 2803616 35952 624868 591484 408340 
04-05-2018_15-47-27 2803616 58288 626332 571196 408340 
04-05-2018_15-47-28 2803616 50548 619160 571696 380584 
04-05-2018_15-47-28 2803616 71268 639892 571700 389768 
04-05-2018_15-47-29 2803616 70152 639080 571920 380584 
04-05-2018_15-47-30 2803616 70784 639712 571920 380584 
04-05-2018_15-47-30 2803616 70676 639604 571920 380584 
04-05-2018_15-47-31 2803616 71020 639948 571920 380584 
04-05-2018_15-47-32 2803616 74656 643584 571952 380584 
04-05-2018_15-47-32 2803616 73704 642664 571952 417524 
04-05-2018_15-47-33 2803616 51048 620604 572628 417524 
04-05-2018_15-47-34 2803616 37000 606856 572820 389768 
04-05-2018_15-47-34 2803616 37384 607576 573112 389768 
04-05-2018_15-47-35 2803616 49580 618848 572268 389768 
04-05-2018_15-47-36 2803616 46220 615552 572300 426708 
04-05-2018_15-47-37 2803616 37088 602216 569592 426708 
04-05-2018_15-47-37 2803616 37936 591400 558024 417388 
04-05-2018_15-47-38 2803616 42188 583628 546000 435892 
04-05-2018_15-47-39 2803616 44128 585944 546312 408136 
04-05-2018_15-47-39 2803616 43444 585320 546372 445076 
04-05-2018_15-47-40 2803616 46412 584204 542224 445076 
04-05-2018_15-47-41 2803616 42472 580284 542236 454260 
04-05-2018_15-47-42 2803616 37672 565004 531668 454260 
04-05-2018_15-47-42 2803616 37584 563572 530344 426504 
04-05-2018_15-47-43 2803616 36040 562060 530376 463444 
04-05-2018_15-47-44 2803616 59100 573256 518948 463444 
04-05-2018_15-47-44 2803616 45948 560236 519052 463376 
04-05-2018_15-47-45 2803616 39816 554136 519064 472628 
04-05-2018_15-47-46 2803616 46112 558912 517404 444872 
04-05-2018_15-47-47 2803616 45752 558268 517344 444872 
04-05-2018_15-47-47 2803616 46416 558932 517344 444872 
04-05-2018_15-47-48 2803616 46756 559272 517344 444872 
04-05-2018_15-47-49 2803616 44320 556676 517184 444872 
04-05-2018_15-47-49 2803616 43976 556332 517184 444872 
04-05-2018_15-47-50 2803616 43632 556000 517216 444872 
04-05-2018_15-47-51 2803616 43980 556376 517216 444872 
04-05-2018_15-47-51 2803616 43900 556296 517216 444872 
04-05-2018_15-47-52 2803616 43964 556360 517216 444872 
04-05-2018_15-47-53 2803616 44116 556512 517216 444872 
04-05-2018_15-47-54 2803616 44692 557152 517280 444872 
04-05-2018_15-47-54 2803616 36892 545156 513088 454056 
04-05-2018_15-47-55 2803616 46628 554344 512524 444872 
04-05-2018_15-47-56 2803616 37640 543336 510472 481812 
04-05-2018_15-47-56 2803616 47284 552012 509424 444872 
04-05-2018_15-47-57 2803616 47712 552440 509424 463308 
04-05-2018_15-47-58 2803616 38328 542884 509244 481812 
04-05-2018_15-47-58 2803616 46680 547832 506736 463304 
04-05-2018_15-47-59 2803616 47496 548664 506736 454056 
04-05-2018_15-48-00 2803616 46084 547252 506736 490996 
04-05-2018_15-48-00 2803616 50344 542248 498100 490996 
04-05-2018_15-48-01 2803616 49588 542976 499644 490996 
04-05-2018_15-48-02 2803616 49304 542692 499644 490996 
04-05-2018_15-48-03 2803616 70200 563824 499812 463240 
04-05-2018_15-48-03 2803616 70116 563740 499812 463240 
04-05-2018_15-48-04 2803616 70340 563964 499812 463240 
04-05-2018_15-48-05 2803616 47452 564452 523524 444260 
04-05-2018_15-48-05 2803616 38368 562904 532164 474740 
04-05-2018_15-48-06 2803616 43068 536960 502812 521156 
04-05-2018_15-48-07 2803616 37928 514084 486248 502652 
04-05-2018_15-48-08 2803616 41768 501316 470456 485728 
04-05-2018_15-48-08 2803616 63688 524280 471540 471800 
04-05-2018_15-48-09 2803616 63384 524124 471580 472424 
04-05-2018_15-48-10 2803616 63684 524424 471580 472424 
04-05-2018_15-48-10 2803616 90260 551000 471212 472424 
04-05-2018_15-48-11 2803616 90432 551172 471212 472424 
04-05-2018_15-48-12 2803616 91060 551804 471212 472424 
04-05-2018_15-48-12 2803616 90932 551680 471212 472424 
04-05-2018_15-48-13 2803616 90536 551304 471244 472424 
04-05-2018_15-48-14 2803616 90124 551100 471476 472424 
04-05-2018_15-48-14 2803616 89292 550368 471540 472424 
04-05-2018_15-48-15 2803616 87124 548260 471600 472424 
04-05-2018_15-48-16 2803616 86804 548216 471912 472424 
04-05-2018_15-48-17 2803616 87224 548672 471912 472424 
04-05-2018_15-48-17 2803616 86628 548084 471912 472424 
04-05-2018_15-48-18 2803616 86992 548448 471912 472424 
04-05-2018_15-48-19 2803616 87256 548712 471912 472424 
04-05-2018_15-48-19 2803616 86816 548272 471912 472424 
04-05-2018_15-48-20 2803616 87220 548676 471912 472424 
04-05-2018_15-48-21 2803616 75224 536712 471944 481608 
04-05-2018_15-48-21 2803616 77952 540384 472864 472424 
04-05-2018_15-48-22 2803616 75980 538412 472864 509364 
04-05-2018_15-48-23 2803616 67884 531164 473800 503000 
04-05-2018_15-48-23 2803616 64376 528092 474216 475088 
04-05-2018_15-48-24 2803616 63564 527280 474216 529716 
04-05-2018_15-48-25 2803616 38484 501316 473384 511212 
04-05-2018_15-48-25 2803616 48536 511380 473384 483300 
04-05-2018_15-48-26 2803616 47324 509296 472488 483300 
04-05-2018_15-48-27 2803616 50572 512620 472480 483924 
04-05-2018_15-48-28 2803616 48772 510840 472476 539524 
04-05-2018_15-48-28 2803616 57816 519872 472472 483924 
04-05-2018_15-48-29 2803616 69472 531816 472692 483924 
04-05-2018_15-48-30 2803616 58772 521204 472780 539524 
04-05-2018_15-48-30 2803616 43560 504928 471500 521020 
04-05-2018_15-48-31 2803616 35960 500444 474544 493108 
04-05-2018_15-48-32 2803616 36424 500908 474544 493108 
04-05-2018_15-48-33 2803616 43844 505520 471988 493108 
04-05-2018_15-48-33 2803616 38540 500320 471892 548708 
04-05-2018_15-48-34 2803616 32020 473812 452628 530204 
